date, category, amount, description
2026-03-01, Food, $45.20, Weekly groceries
2026-03-02, transport, "$2,300.00", Rent payment (mislabeled)
2026-03-03, Food, 12.50, Lunch with friend
2026-03-04, Entertainment, $18.00, Movie ticket
2026-03-05, Food, 9.75, Coffee and pastry
2026-03-06, , 60.00, Unlabeled utility bill
2026-03-07, Transport, 25.00, Gas
2026-03-08, Food, 11.20, Groceries top-up
not-a-date, Food, 15.00, Bad date row
2026-03-10, Entertainment, cheap, Non-numeric amount row
2026-03-11, Transport, 8.50, Bus fare
2026-03-12, Food, 14.00, Dinner
2026-04-01, Food, 50.00, April groceries
